x,y,z
1.5000,1.5000,0.0000
1.5000,1.5000,0.0100
1.5000,1.5000,0.0200
1.5000,1.5000,0.0300
1.5000,1.5000,0.0400
1.5000,1.5000,0.0500
1.5000,1.5000,0.0600
1.5000,1.5000,0.0700
1.5000,1.5000,0.0800
1.5000,1.5000,0.0900
1.5000,1.5000,0.1000
1.5000,1.5000,0.1100
1.5000,1.5000,0.1200
1.5000,1.5000,0.1300
1.5000,1.5000,0.1400
1.5000,1.5000,0.1500
1.5000,1.5000,0.1600
1.5000,1.5000,0.1700
1.5000,1.5000,0.1800
1.5000,1.5000,0.1900
1.5000,1.5000,0.2000
1.5000,1.5000,0.2100
1.5000,1.5000,0.2200
1.5000,1.5000,0.2300
1.5000,1.5000,0.2400
1.5000,1.5000,0.2500
1.5000,1.5000,0.2600
1.5000,1.5000,0.2700
1.5000,1.5000,0.2800
1.5000,1.5000,0.2900
1.5000,1.5000,0.3000
1.5000,1.5000,0.3100
1.5000,1.5000,0.3200
1.5000,1.5000,0.3300
1.5000,1.5000,0.3400
1.5000,1.5000,0.3500
1.5000,1.5000,0.3600
1.5000,1.5000,0.3700
1.5000,1.5000,0.3800
1.5000,1.5000,0.3900
1.5000,1.5000,0.4000
1.5000,1.5000,0.4100
1.5000,1.5000,0.4200
1.5000,1.5000,0.4300
1.5000,1.5000,0.4400
1.5000,1.5000,0.4500
1.5000,1.5000,0.4600
1.5000,1.5000,0.4700
1.5000,1.5000,0.4800
1.5000,1.5000,0.4900
1.5000,1.5000,0.5000
1.5000,1.5000,0.5100
1.5000,1.5000,0.5200
1.5000,1.5000,0.5300
1.5000,1.5000,0.5400
1.5000,1.5000,0.5500
1.5000,1.5000,0.5600
1.5000,1.5000,0.5700
1.5000,1.5000,0.5800
1.5000,1.5000,0.5900
1.5000,1.5000,0.6000
1.5000,1.5000,0.6100
1.5000,1.5000,0.6200
1.5000,1.5000,0.6300
1.5000,1.5000,0.6400
1.5000,1.5000,0.6500
1.5000,1.5000,0.6600
1.5000,1.5000,0.6700
1.5000,1.5000,0.6800
1.5000,1.5000,0.6900
1.5000,1.5000,0.7000
1.5000,1.5000,0.7100
1.5000,1.5000,0.7200
1.5000,1.5000,0.7300
1.5000,1.5000,0.7400
1.5000,1.5000,0.7500
1.5000,1.5000,0.7600
1.5000,1.5000,0.7700
1.5000,1.5000,0.7800
1.5000,1.5000,0.7900
1.5000,1.5000,0.8000
1.5000,1.5000,0.8100
1.5000,1.5000,0.8200
1.5000,1.5000,0.8300
1.5000,1.5000,0.8400
1.5000,1.5000,0.8500
1.5000,1.5000,0.8600
1.5000,1.5000,0.8700
1.5000,1.5000,0.8800
1.5000,1.5000,0.8900
1.5000,1.5000,0.9000
1.5000,1.5000,0.9100
1.5000,1.5000,0.9200
1.5000,1.5000,0.9300
1.5000,1.5000,0.9400
1.5000,1.5000,0.9500
1.5000,1.5000,0.9600
1.5000,1.5000,0.9700
1.5000,1.5000,0.9800
1.5000,1.5000,0.9900
1.5000,1.5000,1.0000
1.5000,1.5000,1.0100
1.5000,1.5000,1.0200
1.5000,1.5000,1.0300
1.5000,1.5000,1.0400
1.5000,1.5000,1.0500
1.5000,1.5000,1.0600
1.5000,1.5000,1.0700
1.5000,1.5000,1.0800
1.5000,1.5000,1.0900
1.5000,1.5000,1.1000
1.5000,1.5000,1.1100
1.5000,1.5000,1.1200
1.5000,1.5000,1.1300
1.5000,1.5000,1.1400
1.5000,1.5000,1.1500
1.5000,1.5000,1.1600
1.5000,1.5000,1.1700
1.5000,1.5000,1.1800
1.5000,1.5000,1.1900
1.5000,1.5000,1.2000
1.5000,1.5000,1.2100
1.5000,1.5000,1.2200
1.5000,1.5000,1.2300
1.5000,1.5000,1.2400
1.5000,1.5000,1.2500
1.5000,1.5000,1.2600
1.5000,1.5000,1.2700
1.5000,1.5000,1.2800
1.5000,1.5000,1.2900
1.5000,1.5000,1.3000
1.5000,1.5000,1.3100
1.5000,1.5000,1.3200
1.5000,1.5000,1.3300
1.5000,1.5000,1.3400
1.5000,1.5000,1.3500
1.5000,1.5000,1.3600
1.5000,1.5000,1.3700
1.5000,1.5000,1.3800
1.5000,1.5000,1.3900
1.5000,1.5000,1.4000
1.5000,1.5000,1.4100
1.5000,1.5000,1.4200
1.5000,1.5000,1.4300
1.5000,1.5000,1.4400
1.5000,1.5000,1.4500
1.5000,1.5000,1.4600
1.5000,1.5000,1.4700
1.5000,1.5000,1.4800
1.5000,1.5000,1.4900
1.5000,1.5000,1.5000
1.5075,1.5000,1.5025
1.5150,1.5000,1.5050
1.5225,1.5000,1.5075
1.5300,1.5000,1.5100
1.5375,1.5000,1.5125
1.5450,1.5000,1.5150
1.5525,1.5000,1.5175
1.5600,1.5000,1.5200
1.5675,1.5000,1.5225
1.5750,1.5000,1.5250
1.5825,1.5000,1.5275
1.5900,1.5000,1.5300
1.5975,1.5000,1.5325
1.6050,1.5000,1.5350
1.6125,1.5000,1.5375
1.6200,1.5000,1.5400
1.6275,1.5000,1.5425
